timestamp,event,player,color,points,total_p1,total_p2,round
2026-01-15T08:42:35.327516,score_hole,1,geel,3,0,0,1
2026-01-15T08:42:35.455683,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.520676,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.582430,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.582882,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.640721,score_board,1,geel,1,0,0,1
2026-01-15T08:42:35.694532,score_board,1,geel,1,0,0,1
2026-01-15T08:42:36.014087,score_board,1,geel,1,0,0,1
2026-01-15T08:42:36.088635,score_board,1,geel,1,0,0,1
2026-01-15T08:42:36.146867,score_board,1,geel,1,0,0,1
2026-01-15T08:42:36.208062,score_board,1,geel,1,0,0,1
2026-01-15T08:42:36.604468,score_board,1,geel,1,0,0,1
2026-01-15T08:42:37.038314,score_board,1,geel,1,0,0,1
2026-01-15T08:42:37.168047,score_board,1,geel,1,0,0,1
2026-01-15T08:42:37.168494,score_board,1,geel,1,0,0,1
2026-01-15T08:42:37.169283,score_hole,1,geel,3,0,0,1
2026-01-15T08:42:37.607711,score_board,1,geel,1,0,0,1
2026-01-15T08:42:37.608303,score_hole,1,geel,3,0,0,1
2026-01-15T08:42:38.264457,score_board,1,geel,1,0,0,1
2026-01-15T08:42:38.633439,score_board,1,geel,1,0,0,1
2026-01-15T08:42:38.633938,score_board,1,geel,1,0,0,1
2026-01-15T08:42:38.693551,score_board,1,geel,1,0,0,1
2026-01-15T08:42:39.065186,score_board,1,geel,1,0,0,1
2026-01-15T08:42:39.755710,score_board,1,geel,1,0,0,1
2026-01-15T08:42:40.251873,score_board,1,geel,1,0,0,1
2026-01-15T08:42:41.940555,score_board,1,geel,1,0,0,1
2026-01-15T08:42:42.010619,score_board,1,geel,1,0,0,1
2026-01-15T08:42:42.290040,score_board,1,geel,1,0,0,1
2026-01-15T08:42:42.418638,score_board,1,geel,1,0,0,1
2026-01-15T08:42:42.842671,score_board,1,geel,1,0,0,1
2026-01-15T08:42:45.858213,score_board,1,geel,1,0,0,1
2026-01-15T08:42:46.306045,score_hole,1,geel,3,0,0,1
2026-01-15T08:42:46.541363,score_board,1,geel,1,0,0,1
2026-01-15T08:42:46.910983,stop,,,0,0,0,1
2026-01-15T08:44:36.127735,web_start,,,0,0,0,1
2026-01-15T08:44:42.019263,manual_minus,1,,-1,0,0,1
2026-01-15T08:44:43.311502,manual_plus,2,,1,0,1,1
2026-01-15T08:44:44.287848,manual_plus,2,,1,0,2,1
2026-01-15T08:44:44.550368,manual_plus,2,,1,0,3,1
2026-01-15T08:44:44.806621,manual_plus,2,,1,0,4,1
2026-01-15T08:44:44.809326,manual_plus,2,,1,0,5,1
2026-01-15T08:44:45.068332,manual_plus,2,,1,0,6,1
2026-01-15T08:45:49.226706,manual_plus,1,,1,1,0,1
2026-01-15T08:45:53.423745,manual_plus,1,,1,2,0,1
2026-01-15T08:45:54.058835,manual_plus,1,,1,3,0,1
2026-01-15T08:45:54.392847,manual_plus,1,,1,4,0,1
2026-01-15T08:45:54.609170,manual_plus,1,,1,5,0,1
2026-01-15T08:45:54.777173,manual_plus,1,,1,6,0,1
2026-01-15T08:45:54.988575,manual_plus,1,,1,7,0,1
2026-01-15T08:45:55.158156,manual_plus,1,,1,8,0,1
2026-01-15T08:49:26.458866,web_start,,,0,0,0,1
2026-01-15T08:49:31.182100,web_stop,,,0,0,0,1
2026-01-15T08:49:37.976092,start,,,0,0,0,1
2026-01-15T08:49:38.124316,score_board,2,wit,1,0,0,1
2026-01-15T08:49:41.996692,score_board,1,rood,1,0,0,1
2026-01-15T08:49:42.412050,score_board,1,rood,1,0,0,1
2026-01-15T08:49:42.618540,score_board,1,rood,1,0,0,1
2026-01-15T08:49:42.619605,score_board,1,rood,1,0,0,1
2026-01-15T08:49:43.035107,score_board,1,rood,1,0,0,1
2026-01-15T08:49:43.035478,score_board,1,rood,1,0,0,1
2026-01-15T08:49:43.238341,score_board,1,rood,1,0,0,1
2026-01-15T08:49:43.653144,score_board,1,rood,1,0,0,1
2026-01-15T08:49:43.653525,score_board,1,rood,1,0,0,1
2026-01-15T08:49:44.663279,score_board,1,rood,1,0,0,1
2026-01-15T08:49:45.336458,score_board,1,rood,1,0,0,1
2026-01-15T08:49:45.336966,score_hole,1,rood,3,0,0,1
2026-01-15T08:49:45.337284,score_hole,1,rood,3,0,0,1
2026-01-15T08:49:45.577419,score_board,1,rood,1,0,0,1
2026-01-15T08:49:48.700762,score_board,2,wit,1,0,0,1
2026-01-15T08:49:58.066627,score_board,2,wit,1,0,0,1
2026-01-15T08:49:59.226398,score_board,2,wit,1,0,0,1
2026-01-15T08:49:59.432570,score_board,2,wit,1,0,0,1
2026-01-15T08:50:00.237110,score_board,2,wit,1,0,0,1
2026-01-15T08:50:00.655002,score_board,2,wit,1,0,0,1
2026-01-15T08:50:01.279663,score_board,1,rood,1,0,0,1
2026-01-15T08:50:01.280263,score_board,2,wit,1,0,0,1
2026-01-15T08:50:01.706498,score_board,2,wit,1,0,0,1
2026-01-15T08:50:01.925873,score_hole,2,wit,3,0,0,1
2026-01-15T08:50:02.140184,score_hole,2,wit,3,0,0,1
2026-01-15T08:50:02.354906,score_board,2,wit,1,0,0,1
2026-01-15T08:50:04.564023,score_board,1,rood,1,0,0,1
2026-01-15T08:50:04.783591,score_board,2,wit,1,0,0,1
2026-01-15T08:50:04.999628,score_board,1,rood,1,0,0,1
2026-01-15T09:10:38.858526,reset,,,0,0,0,1
2026-01-15T09:10:39.978284,start,,,0,0,0,1
2026-01-15T09:10:40.514377,stop,,,0,0,0,1
2026-01-15T09:10:41.705389,manual_minus,1,,-1,0,0,1
2026-01-15T09:10:43.703833,manual_plus,1,,1,1,0,1
2026-01-15T09:11:59.703527,start,,,0,1,0,1
2026-01-15T09:12:00.739409,score_board,2,rood,1,1,0,1
2026-01-15T09:12:01.537322,score_hole,1,wit,3,1,0,1
2026-01-15T09:12:01.685215,score_board,1,wit,1,1,0,1
2026-01-15T09:12:02.581956,score_board,2,rood,1,1,0,1
2026-01-15T09:12:02.838314,score_board,1,wit,1,1,0,1
2026-01-15T09:12:03.386272,score_board,1,wit,1,1,0,1
2026-01-15T09:12:11.220360,score_board,1,wit,1,1,0,1
2026-01-15T09:12:13.665376,score_board,1,wit,1,1,0,1
2026-01-15T09:12:20.331595,score_board,1,wit,1,1,0,1
2026-01-15T09:12:20.622944,score_board,1,wit,1,1,0,1
2026-01-15T09:12:21.111863,score_board,1,wit,1,1,0,1
2026-01-15T09:12:24.199125,score_board,1,wit,1,1,0,1
2026-01-15T09:12:24.443588,score_board,1,wit,1,1,0,1
2026-01-15T09:12:24.890471,score_hole,1,wit,3,1,0,1
2026-01-15T09:15:04.692860,reset,,,0,0,0,1
2026-01-15T09:15:05.488575,export_snapshot,,,0,0,0,1
2026-01-15T09:15:06.581492,web_toggle_on,,,0,0,0,1
2026-01-15T09:15:10.681054,manual_plus,1,,1,1,0,1
2026-01-15T09:15:14.637758,manual_plus,1,,1,2,0,1
2026-01-15T09:15:16.795880,manual_minus,1,,-1,1,0,1
2026-01-15T09:15:17.894566,manual_plus,2,,1,1,1,1
2026-01-15T09:15:18.580701,manual_plus,2,,1,1,2,1
2026-01-15T09:15:19.522356,manual_plus,2,,1,1,3,1
2026-01-15T09:15:46.745118,web_toggle_off,,,0,1,3,1
2026-01-15T09:17:11.556795,start,,,0,0,0,1
2026-01-15T09:17:16.475143,score_board,1,blauw,1,0,0,1
2026-01-15T09:17:16.475675,score_board,1,blauw,1,0,0,1
2026-01-15T09:17:23.276312,web_toggle_on,,,0,0,0,1
2026-01-15T09:18:26.661661,score_board,2,roze,1,0,0,1
