timestamp,event,player,color,points,total_score_p1,total_score_p2,round
2026-03-24T13:26:36.316216,manual_plus,1,,1,24,21,3
2026-03-24T13:26:37.696684,round_end,,,0,24,21,4
2026-03-24T13:57:03.928184,start,,,0,0,0,1
2026-03-24T13:57:28.988651,score_board,2,groen,1,0,0,1
2026-03-24T13:57:42.334437,score_board,1,roze,1,0,0,1
2026-03-24T13:57:46.728377,score_hole,2,groen,3,0,0,1
2026-03-24T13:57:48.911807,score_hole,1,roze,3,0,0,1
2026-03-24T13:58:01.670971,score_hole,2,groen,3,0,0,1
2026-03-24T13:58:13.699354,round_end,,,0,0,3,2
2026-03-24T13:58:38.684120,score_board,2,groen,1,0,3,2
2026-03-24T13:58:45.520559,score_board,1,roze,1,0,3,2
2026-03-24T13:58:53.772467,round_end,,,0,0,3,3
2026-03-24T13:59:03.990323,score_board,2,groen,1,0,3,3
2026-03-24T13:59:17.588091,score_hole,1,roze,3,0,3,3
2026-03-24T13:59:26.432418,score_hole,2,groen,3,0,3,3
2026-03-24T13:59:35.251256,round_end,,,0,0,4,4
2026-03-24T13:59:45.757032,score_board,1,roze,1,0,4,4
2026-03-24T13:59:45.771451,score_board,2,groen,1,0,4,4
2026-03-24T13:59:52.009832,score_hole,1,roze,3,0,4,4
2026-03-24T14:00:18.804697,round_end,,,0,3,4,5
2026-03-24T14:00:26.208685,score_board,2,groen,1,3,4,5
2026-03-24T14:00:29.169066,score_hole,1,roze,3,3,4,5
2026-03-24T14:00:36.813802,score_board,2,groen,1,3,4,5
2026-03-24T14:00:47.771402,score_hole,1,roze,3,3,4,5
2026-03-24T14:00:54.466328,score_board,2,groen,1,3,4,5
2026-03-24T14:00:56.884192,score_board,1,roze,1,3,4,5
2026-03-24T14:01:04.840677,round_end,,,0,7,4,6
2026-03-24T14:01:19.883541,score_hole,2,groen,3,7,4,6
2026-03-24T14:01:22.624773,score_board,1,roze,1,7,4,6
2026-03-24T14:01:34.957213,score_board,1,roze,1,7,4,6
2026-03-24T14:01:38.938841,score_board,1,roze,1,7,4,6
2026-03-24T14:01:46.557890,round_end,,,0,7,4,7
2026-03-24T14:01:54.206502,score_board,2,groen,1,7,4,7
2026-03-24T14:01:57.919487,round_end,,,0,7,5,8
2026-03-24T14:02:01.916553,score_hole,1,roze,3,7,5,8
2026-03-24T14:02:04.044385,round_end,,,0,10,5,9
2026-03-24T14:02:07.398067,score_board,2,groen,1,10,5,9
2026-03-24T14:02:12.374378,round_end,,,0,10,6,10
2026-03-24T14:02:19.631079,round_end,,,0,10,6,11
2026-03-24T14:02:22.511394,score_board,2,groen,1,10,6,11
2026-03-24T14:02:34.674735,round_end,,,0,10,7,12
2026-03-24T14:02:36.659599,manual_plus,1,,1,11,7,12
2026-03-24T14:02:36.884341,manual_plus,1,,1,12,7,12
2026-03-24T14:02:37.163516,manual_plus,1,,1,13,7,12
2026-03-24T14:02:37.419919,manual_plus,1,,1,14,7,12
2026-03-24T14:02:37.774725,manual_plus,1,,1,15,7,12
2026-03-24T14:02:38.141436,manual_plus,1,,1,16,7,12
2026-03-24T14:02:38.407196,manual_plus,1,,1,17,7,12
2026-03-24T14:02:38.659112,manual_plus,1,,1,18,7,12
2026-03-24T14:02:41.876887,manual_plus,1,,1,19,7,12
2026-03-24T14:02:42.200280,manual_plus,1,,1,20,7,12
2026-03-24T14:02:42.472920,manual_plus,1,,1,21,7,12
2026-03-24T14:02:45.631836,manual_plus,2,,1,21,8,12
2026-03-24T14:02:46.071745,manual_plus,2,,1,21,9,12
2026-03-24T14:02:48.216048,round_end,,,0,21,9,13
2026-03-24T14:02:52.021274,round_end,,,0,21,9,13
2026-03-24T14:03:00.234775,manual_plus,1,,1,22,9,13
2026-03-24T14:03:03.472207,round_end,,,0,22,9,13
2026-03-25T08:05:56.056684,reset,,,0,0,0,1
2026-03-25T08:05:56.741471,reset,,,0,0,0,1
2026-03-25T08:05:57.023002,reset,,,0,0,0,1
2026-03-25T08:05:57.835007,reset,,,0,0,0,1
2026-03-25T08:10:23.046689,manual_plus,1,,1,1,0,1
2026-03-25T08:10:24.420964,manual_plus,1,,1,2,0,1
2026-03-25T08:10:25.503731,manual_plus,1,,1,3,0,1
2026-03-25T08:10:27.394193,manual_plus,2,,1,3,1,1
2026-03-25T08:10:30.240577,round_end,,,0,3,1,2
2026-03-25T08:10:43.521890,round_end,,,0,3,1,3
2026-03-25T08:10:44.160507,round_end,,,0,3,1,4
2026-03-25T08:10:44.428586,round_end,,,0,3,1,5
2026-03-25T08:10:44.729439,round_end,,,0,3,1,6
2026-03-25T08:19:28.044702,manual_plus,1,,1,1,0,1
2026-03-25T08:19:28.508950,manual_plus,1,,1,2,0,1
2026-03-25T08:19:28.812117,manual_plus,1,,1,3,0,1
2026-03-25T08:19:29.262052,manual_plus,1,,1,4,0,1
2026-03-25T08:19:29.567511,manual_plus,1,,1,5,0,1
2026-03-25T08:19:29.870991,manual_plus,1,,1,6,0,1
2026-03-25T08:19:30.167584,manual_plus,1,,1,7,0,1
2026-03-25T08:19:30.610570,manual_plus,1,,1,8,0,1
2026-03-25T08:19:30.917777,manual_plus,1,,1,9,0,1
2026-03-25T08:19:31.366309,manual_plus,1,,1,10,0,1
2026-03-25T08:19:31.664108,manual_plus,1,,1,11,0,1
2026-03-25T08:19:31.961771,manual_plus,1,,1,12,0,1
2026-03-25T08:19:32.400719,manual_plus,1,,1,13,0,1
2026-03-25T08:19:32.698646,manual_plus,1,,1,14,0,1
2026-03-25T08:19:33.140625,manual_plus,1,,1,15,0,1
2026-03-25T08:19:34.053398,manual_plus,2,,1,15,1,1
2026-03-25T08:19:34.372418,manual_plus,2,,1,15,2,1
2026-03-25T08:19:34.667168,manual_plus,2,,1,15,3,1
2026-03-25T08:19:34.965291,manual_plus,2,,1,15,4,1
2026-03-25T08:19:35.392339,manual_plus,2,,1,15,5,1
2026-03-25T08:19:37.716909,round_end,,,0,15,5,2
2026-03-25T08:19:38.754146,manual_plus,1,,1,16,5,2
2026-03-25T08:19:39.331433,manual_plus,1,,1,17,5,2
2026-03-25T08:19:39.744982,manual_plus,1,,1,18,5,2
2026-03-25T08:19:40.164879,manual_plus,1,,1,19,5,2
2026-03-25T08:19:40.959480,manual_plus,1,,1,20,5,2
2026-03-25T08:19:41.948228,manual_plus,1,,1,21,5,2
2026-03-25T08:19:44.033736,round_end,,,0,21,5,3
2026-03-25T08:19:47.647229,manual_plus,1,,1,22,5,3
2026-03-25T08:19:49.015852,round_end,,,0,22,5,3
2026-03-25T08:28:30.882828,manual_plus,1,,1,1,0,1
2026-03-25T08:28:31.914962,manual_plus,1,,1,2,0,1
2026-03-25T08:28:32.279208,manual_plus,1,,1,3,0,1
2026-03-25T08:28:33.854353,start,,,0,3,0,1
2026-03-25T08:28:35.088726,manual_plus,1,,1,4,0,1
2026-03-25T08:28:35.427848,manual_plus,1,,1,5,0,1
2026-03-25T08:28:36.373498,manual_plus,2,,1,5,1,1
2026-03-25T08:28:37.590910,manual_plus,2,,1,5,2,1
2026-03-25T08:28:39.624521,round_end,,,0,5,2,2
2026-03-25T08:28:40.590765,round_end,,,0,5,2,3
2026-03-25T08:28:41.009159,round_end,,,0,5,2,4
2026-03-25T08:28:41.157453,round_end,,,0,5,2,5
2026-03-25T08:28:42.452439,manual_plus,2,,1,5,3,5
2026-03-25T08:28:42.794651,manual_plus,2,,1,5,4,5
2026-03-25T08:28:43.112609,manual_plus,2,,1,5,5,5
2026-03-25T08:28:43.422146,manual_plus,2,,1,5,6,5
2026-03-25T08:28:43.728696,manual_plus,2,,1,5,7,5
2026-03-25T08:28:44.179980,manual_plus,2,,1,5,8,5
2026-03-25T08:28:44.481545,manual_plus,2,,1,5,9,5
2026-03-25T08:28:44.793768,manual_plus,2,,1,5,10,5
2026-03-25T08:28:45.091509,manual_plus,2,,1,5,11,5
2026-03-25T08:28:45.743380,manual_plus,1,,1,6,11,5
