timestamp,bag_id,color,x,y,movement,still_frames,on_board,in_hole
2026-03-23T14:26:25.275660,5,blauw,88,313,20.5913,0,0,0
2026-03-23T14:26:25.402584,4,blauw,25,580,5.099,0,0,0
2026-03-23T14:26:25.403105,5,blauw,82,336,23.7697,0,0,0
2026-03-23T14:26:25.529792,4,blauw,25,583,3.0,0,0,0
2026-03-23T14:26:25.530417,5,blauw,90,316,21.5407,0,0,0
2026-03-23T14:26:26.419438,4,blauw,27,577,6.3246,0,0,0
2026-03-23T14:26:26.803467,4,blauw,25,578,2.2361,0,0,0
2026-03-23T14:26:26.931548,5,blauw,87,313,4.2426,0,0,0
2026-03-23T14:26:27.188220,3,blauw,119,239,12.3693,0,0,0
2026-03-23T14:26:27.315217,4,blauw,25,576,2.0,0,0,0
2026-03-23T14:26:27.444095,4,blauw,25,574,2.0,0,0,0
2026-03-23T14:26:27.963576,5,blauw,85,331,18.1108,0,0,0
2026-03-23T14:26:28.093471,4,blauw,25,574,0.0,1,0,0
2026-03-23T14:26:28.352514,5,blauw,94,303,43.6807,0,0,0
2026-03-23T14:26:28.740436,4,blauw,25,578,4.0,0,0,0
2026-03-23T14:26:28.740940,5,blauw,86,325,23.4094,0,0,0
2026-03-23T14:26:29.004816,4,blauw,25,579,1.0,1,0,0
2026-03-23T14:26:29.005266,5,blauw,84,338,13.1529,0,0,0
2026-03-23T14:26:29.166563,5,blauw,99,288,52.2015,0,0,0
2026-03-23T14:26:29.330623,5,blauw,89,314,27.8568,0,0,0
2026-03-23T14:26:29.650315,5,blauw,90,312,2.2361,0,0,0
2026-03-23T14:26:29.811541,4,blauw,25,578,1.0,1,0,0
2026-03-23T14:26:29.812181,5,blauw,95,297,42.72,0,0,0
2026-03-23T14:26:29.967313,4,blauw,25,580,2.0,0,0,0
2026-03-23T14:26:30.114063,4,blauw,25,576,4.0,0,0,0
2026-03-23T14:26:30.272986,4,blauw,25,582,6.0,0,0,0
2026-03-23T14:26:30.273479,5,blauw,98,293,5.0,0,0,0
2026-03-23T14:26:30.273820,3,blauw,127,213,27.2029,0,0,0
2026-03-23T14:26:30.431488,4,blauw,25,579,3.0,0,0,0
2026-03-23T14:26:30.432199,5,blauw,82,343,52.4976,0,0,0
2026-03-23T14:26:30.433184,3,blauw,117,245,33.5261,0,0,0
2026-03-23T14:26:30.583310,4,blauw,24,579,1.0,1,0,0
2026-03-23T14:26:30.724409,4,blauw,24,579,0.0,1,0,0
2026-03-23T14:26:30.873045,4,blauw,25,577,2.2361,0,0,0
2026-03-23T14:26:30.873491,3,blauw,120,211,34.1321,0,0,0
2026-03-23T14:26:31.036301,4,blauw,25,579,2.0,0,0,0
2026-03-23T14:26:31.037530,5,blauw,89,317,26.9258,0,0,0
2026-03-23T14:26:31.038172,3,blauw,122,220,9.2195,0,0,0
2026-03-23T14:26:31.038693,35,blauw,149,82,999,0,0,0
2026-03-23T14:26:31.190877,4,blauw,25,577,2.0,0,0,0
2026-03-23T14:26:31.191514,5,blauw,88,323,6.0828,0,0,0
2026-03-23T14:26:31.345269,5,blauw,86,325,2.8284,0,0,0
2026-03-23T14:26:31.345763,3,blauw,100,269,53.7122,0,0,0
2026-03-23T14:26:31.511947,4,blauw,24,580,3.1623,0,0,0
2026-03-23T14:26:31.657539,4,blauw,24,578,2.0,0,0,0
2026-03-23T14:26:31.658281,5,blauw,88,318,7.2801,0,0,0
2026-03-23T14:26:31.820338,4,blauw,25,580,2.2361,0,0,0
2026-03-23T14:26:31.970623,4,blauw,25,579,1.0,1,0,0
2026-03-23T14:26:31.971460,5,blauw,88,321,3.0,0,0,0
2026-03-23T14:26:32.112170,5,blauw,98,296,26.9258,0,0,0
2026-03-23T14:26:32.253810,4,blauw,25,575,4.0,0,0,0
2026-03-23T14:26:32.389454,4,blauw,25,580,5.0,0,0,0
2026-03-23T14:26:32.390222,5,blauw,104,285,12.53,0,0,0
2026-03-23T14:26:32.391086,3,blauw,124,220,54.5619,0,0,0
2026-03-23T14:26:32.594651,4,blauw,25,579,1.0,1,0,0
2026-03-23T14:26:32.595392,7,blauw,70,364,52.0865,0,0,0
2026-03-23T14:26:32.595750,5,blauw,98,296,12.53,0,0,0
2026-03-23T14:26:32.760421,5,blauw,89,317,22.8473,0,0,0
2026-03-23T14:26:32.918221,4,blauw,26,580,1.4142,1,0,0
2026-03-23T14:26:32.918659,3,blauw,125,219,1.4142,1,0,0
2026-03-23T14:26:33.075078,4,blauw,25,576,4.1231,0,0,0
2026-03-23T14:26:33.075599,5,blauw,93,319,4.4721,0,0,0
2026-03-23T14:26:33.239949,4,blauw,25,580,4.0,0,0,0
2026-03-23T14:26:33.240732,7,blauw,78,342,23.4094,0,0,0
2026-03-23T14:26:33.368159,4,blauw,24,582,2.2361,0,0,0
2026-03-23T14:26:33.368994,36,blauw,27,410,999,0,0,0
2026-03-23T14:26:33.558018,4,blauw,25,581,1.4142,1,0,0
2026-03-23T14:26:33.732800,4,blauw,25,576,5.0,0,0,0
2026-03-23T14:26:33.908561,4,blauw,25,576,0.0,1,0,0
2026-03-23T14:26:33.909429,7,blauw,79,350,8.0623,0,0,0
2026-03-23T14:26:33.910068,5,blauw,91,307,12.1655,0,0,0
2026-03-23T14:26:34.055953,4,blauw,26,575,1.4142,1,0,0
2026-03-23T14:26:34.203578,4,blauw,25,579,4.1231,0,0,0
2026-03-23T14:26:34.353484,4,blauw,25,578,1.0,1,0,0
2026-03-23T14:26:34.353986,7,blauw,84,334,16.7631,0,0,0
2026-03-23T14:26:34.498007,37,blauw,60,474,999,0,0,0
2026-03-23T14:26:34.498649,7,blauw,81,337,4.2426,0,0,0
2026-03-23T14:26:34.499204,5,blauw,96,295,13.0,0,0,0
2026-03-23T14:26:34.641466,7,blauw,70,359,24.5967,0,0,0
2026-03-23T14:26:34.641973,3,blauw,71,196,58.6941,0,0,0
2026-03-23T14:26:34.788522,4,blauw,25,573,5.0,0,0,0
2026-03-24T07:38:38.898311,1,wit,588,500,999,0,1,1
2026-03-24T07:38:39.037939,2,wit,262,710,999,0,0,0
2026-03-24T07:38:39.038267,3,wit,924,20,55.2268,0,0,0
2026-03-24T07:38:39.038601,4,roze,124,611,999,0,0,0
